Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2qSkIjg1o9h3YT9RAgYN75,"Espresso","Espresso","Sabrina Carpenter",2024-04-12,175459,86,true,,2026-08-25T16:12:31Z,"pop","Island Records",0.701,0.76,0,-5.478,1,0.0285,0.107,0.0000654,0.185,0.69,103.969,4
spotify:track:6393yGahSJ9slVdOwSxOVR,"Pink Pony Club","The Rise and Fall of a Midwest Princess","Chappell Roan",2023-09-21,258034,85,false,,2026-08-25T16:12:31Z,"","Chappell Roan PS/ Island",0.61,0.65,6,-6.199,1,0.0474,0.399,0,0.11,0.507,106.719,4
spotify:track:221eHga9f9Ne4f8D7WVgPT,"Mystical Magical","Mystical Magical","Benson Boone",2025-04-24,165746,79,false,,2026-08-25T16:12:31Z,"","Night Street Records, Inc./Warner Records Inc.",0.671,0.697,11,-3.851,1,0.116,0.19,0,0.393,0.848,119.867,4
spotify:track:05od2qm2MTSKCHxy1GBp5W,"12 to 12","I Barely Know Her","sombr",2025-08-22,242903,91,false,,2026-08-25T16:12:31Z,"","Warner Records",0.659,0.898,11,-2.578,0,0.0526,0.0134,0.00000502,0.0971,0.511,123.992,4
spotify:track:5wANPM4fQCJwkGd4rN57mH,"drivers license","SOUR","Olivia Rodrigo",2021-05-21,242013,89,true,,2026-08-25T16:12:31Z,"","Olivia Rodrigo PS",0.561,0.431,10,-8.81,1,0.0578,0.768,0.0000142,0.106,0.137,143.875,4
spotify:track:19XpFsce28aByvCC4g89tJ,"Too Sweet","Unreal Unearth: Unaired","Hozier",2024-08-19,251424,85,false,,2026-08-25T16:12:31Z,"","Rubyworks / Universal-Island Records Ltd",0.74,0.643,10,-5.446,1,0.0413,0.041,0.00229,0.0407,0.96,117.025,4
spotify:track:0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!","Good Luck, Babe!","Chappell Roan",2024-04-05,218423,91,false,,2026-08-25T16:12:31Z,"","Chappell Roan PS/ Island",0.7,0.582,11,-5.96,0,0.0356,0.0502,0,0.0881,0.785,116.712,4
spotify:track:5hM5arv9KDbCHS0k9uqwjr,"Borderline","The Slow Rush","Tame Impala",2020-02-14,237800,89,false,,2026-08-25T16:12:31Z,"neopsicodélica,indie","Universal Music Australia Pty. Ltd.",0.621,0.873,5,-3.067,0,0.0369,0.0406,0.0000091,0.0824,0.873,97.96,4
spotify:track:3qhlB30KknSejmIvZZLjOD,"End of Beginning","DECIDE","Djo",2022-09-16,159245,96,false,,2026-08-25T16:12:31Z,"","Djo",0.689,0.454,2,-7.643,1,0.0584,0.0351,0.00259,0.0707,0.912,159.982,4
spotify:track:07MDkzWARZaLEdKxo6yArG,"Meet Me At Our Spot","THE ANXIETY","THE ANXIETY;WILLOW;Tyler Cole",2020-03-13,162680,78,true,,2026-08-25T16:12:31Z,"","MSFTSMusic / Roc Nation Records, LLC",0.773,0.47,2,-7.93,1,0.0299,0.0153,0.000193,0.0851,0.399,94.995,4
spotify:track:4ZtFanR9U6ndgddUvNcjcG,"good 4 u","SOUR","Olivia Rodrigo",2021-05-21,178146,87,true,,2026-08-25T16:12:31Z,"","Olivia Rodrigo PS",0.563,0.664,9,-5.044,1,0.154,0.335,0,0.0849,0.688,166.928,4
spotify:track:42UBPzRMh5yyz0EDPr6fr1,"Manchild","Manchild","Sabrina Carpenter",2025-06-05,213645,86,true,,2026-08-25T16:12:31Z,"pop","Island Records",0.731,0.685,7,-5.087,1,0.0572,0.122,0,0.317,0.811,123.01,4
spotify:track:55lijDD6OAjLFFUHU9tcDm,"WHERE IS MY HUSBAND!","WHERE IS MY HUSBAND!","RAYE",2025-09-19,197142,89,false,,2026-08-25T16:12:31Z,"","Human Re Sources",0.39,0.781,8,-7.04,1,0.0918,0.0599,0,0.14,0.628,115.939,4
spotify:track:7tICCrK3CcyRFKza7yrR0z,"Homewrecker","Homewrecker","sombr",2026-02-05,209066,93,false,,2026-08-25T16:12:31Z,"","Warner Records",0.459,0.917,1,-2.517,1,0.0531,0.0457,0,0.165,0.528,99.992,4
spotify:track:4Dvkj6JhhA12EX05fT7y2e,"As It Was","Harry's House","Harry Styles",2022-05-20,167303,94,false,,2026-08-25T16:12:31Z,"","Columbia",0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,4
spotify:track:1kuGVB7EU95pJObxwvfwKS,"vampire","GUTS","Olivia Rodrigo",2023-09-08,219724,88,true,,2026-08-25T16:12:31Z,"","Olivia Rodrigo PS",0.484,0.53,5,-5.821,1,0.0538,0.154,0,0.263,0.323,136.848,4
spotify:track:37BZB0z9T8Xu7U3e65qxFy,"Save Your Tears (with Ariana Grande) (Remix)","Save Your Tears (Remix)","The Weeknd;Ariana Grande",2021-04-23,191013,81,false,,2026-08-25T16:12:31Z,"pop","Republic Records",0.65,0.825,0,-4.645,1,0.0325,0.0215,0.0000244,0.0936,0.593,118.091,4
spotify:track:19kHhX6f6EfLU7rcO3RqjO,"Back On 74","Volcano","Jungle",2023-08-11,209482,83,false,,2026-08-25T16:12:31Z,"","Caiola Records",0.62,0.761,10,-7.282,0,0.175,0.207,0.000147,0.269,0.194,146.003,4
spotify:track:0FTmksd2dxiE5e3rWyJXs6,"back to friends","back to friends","sombr",2024-12-27,199032,91,false,,2026-08-25T16:12:31Z,"","Warner Records",0.436,0.723,1,-2.291,1,0.0301,0.0000937,0.0000882,0.0929,0.235,92.855,4
spotify:track:0mflMxspEfB0VbI1kyLiAv,"Stick Season","Stick Season","Noah Kahan",2022-10-14,182346,89,false,,2026-08-25T16:12:31Z,"","Mercury Records/Republic Records",0.664,0.5,9,-6.935,1,0.0651,0.799,0,0.0966,0.801,117.896,4
spotify:track:4WFgvKVfEhb3IUAFGrutTR,"Love Me Not","Bird's Eye","Ravyn Lenae",2024-08-09,213466,93,false,,2026-08-25T16:12:31Z,"r&b alternativo,indie soul","Atlantic Records",0.779,0.731,0,-6.176,1,0.0306,0.296,0,0.128,0.814,114.001,4
spotify:track:1qbmS6ep2hbBRaEZFpn7BX,"Man I Need","Man I Need","Olivia Dean",2025-08-15,184000,96,false,,2026-08-25T16:12:31Z,"pop soul","PLG - Capitol",0.808,0.593,1,-7.27,1,0.0714,0.488,0.000451,0.0933,0.688,119.008,4
