Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5EQzuYfTZt7B2LqlvTF49l,"It's All Coming Back to Me Now","Falling into You","Céline Dion",1996-03-11,456866,80,false,,2026-04-29T17:49:36Z,"variété française","Columbia",0.384,0.438,0,-9.149,1,0.0362,0.753,0,0.101,0.287,87.903,4
spotify:track:7j5TIXPi0cCbSSqItmbyZy,"Vogue","The Immaculate Collection","Madonna",1990-11-09,317080,79,false,,2026-04-29T17:49:36Z,"","Sire/Warner Records",0.747,0.84,3,-7.701,0,0.0421,0.00348,0.00656,0.44,0.305,115.997,4
spotify:track:7aQjPecQdIuNd1sz3KCDhD,"Lovefool","First Band On The Moon (Remastered)","The Cardigans",1996-01-01,193953,88,false,,2026-04-29T17:49:36Z,"pop sueco","Universal Music AB",0.704,0.636,9,-6.029,1,0.0252,0.0344,0,0.35,0.89,111.845,4
spotify:track:1d6KS9GH06JAd19uiBy9IE,"Ironic - 2015 Remaster","Jagged Little Pill (2015 Remaster)","Alanis Morissette",1995,230000,80,false,,2026-04-29T17:49:36Z,"","Rhino/Maverick Records",0.408,0.582,11,-8.305,1,0.0508,0.218,0,0.159,0.365,114.926,5
spotify:track:2goLsvvODILDzeeiT4dAoR,"Believe","Believe","Cher",1998,239026,86,false,,2026-04-29T17:49:36Z,"","Warner Records",0.652,0.917,6,-6.72,1,0.0548,0.0082,0,0.0509,0.459,132.975,4
spotify:track:11mwFrKvLXCbcVGNxffGyP,"Genie In a Bottle","Christina Aguilera (Expanded Edition)","Christina Aguilera",1999,217573,87,false,,2026-04-29T17:49:36Z,"","RCA Records Label",0.633,0.8,1,-6.945,1,0.166,0.209,0.000123,0.137,0.913,175.716,4
spotify:track:0TxXEbxn52XsuAhxb6VFZw,"This Kiss","The Hits","Faith Hill",2007,194906,62,false,,2026-04-29T17:49:36Z,"country","Warner Records/Nashville",0.48,0.832,11,-5.663,1,0.0426,0.137,0,0.354,0.648,186.875,4
spotify:track:1Je1IMUlBXcx1Fz0WE7oPT,"Wannabe","Spice","Spice Girls",1996-01-01,173026,85,false,,2026-04-29T17:49:36Z,"","Virgin Records",0.768,0.864,11,-6.149,1,0.0324,0.101,0,0.162,0.891,110.009,4
spotify:track:1Cwsd5xI8CajJz795oy4XF,"You Get What You Give","Maybe You've Been Brainwashed Too","New Radicals",1998-01-01,300773,86,false,,2026-04-29T17:49:36Z,"","Geffen*",0.621,0.901,2,-5.396,1,0.0302,0.17,0,0.0875,0.744,113.967,4
spotify:track:6qspW4YKycviDFjHBOaqUY,"Waterfalls","Crazysexycool","TLC",1994-11-15,279506,82,false,,2026-04-29T17:49:36Z,"","Arista/LaFace Records",0.769,0.505,1,-7.345,1,0.0829,0.311,0.0000749,0.0777,0.757,171.804,4
spotify:track:3MjUtNVVq3C8Fn0MP3zhXa,"...Baby One More Time","...Baby One More Time (Digital Deluxe Version)","Britney Spears",1999-01-12,211066,90,false,,2026-04-29T17:49:36Z,"pop","Jive",0.759,0.699,0,-5.745,0,0.0307,0.202,0.000131,0.443,0.907,92.96,4
