Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7s25THrKz86DM225dOYwnr,"Respect","I Never Loved a Man the Way I Love You","Aretha Franklin",1967-03-10,147600,78,false,,2026-02-06T15:24:01Z,"soul,motown,soul clássico","Rhino Atlantic",0.805,0.558,0,-5.226,1,0.041,0.164,0.000022,0.0546,0.965,114.95,4
spotify:track:3xsOtNxtBW0oTI1OWKAzTm,"Walk on By","Make Way for Dionne Warwick","Dionne Warwick",1964,178333,70,false,,2026-02-06T15:24:01Z,"","Rhino",0.7,0.33,5,-9.027,1,0.0303,0.719,0.000086,0.136,0.524,98.605,4
spotify:track:1OppEieGNdItZbE14gLBEv,"You Can't Hurry Love","The Supremes A' Go-Go (Expanded Edition)","The Supremes",1966-08-25,167933,73,false,,2026-02-06T15:24:01Z,"motown,northern soul,soul clássico,soul","UNI/MOTOWN",0.63,0.711,10,-9.34,1,0.0472,0.299,0,0.0813,0.659,96.915,4
spotify:track:1zW2csx1vVJrKfvDrFQNVt,"Jump in the Line","Jump Up Calypso","Harry Belafonte",1961-07-21,221704,71,false,,2026-02-06T15:24:01Z,"","RCA Records Label",0.594,0.889,5,-7.775,1,0.246,0.768,0,0.124,0.8,116.187,4
spotify:track:3NfxSdJnVdon1axzloJgba,"I Say a Little Prayer","Aretha Now","Aretha Franklin",1968-06-14,216773,80,false,,2026-02-06T15:24:01Z,"soul,motown,soul clássico","Rhino Atlantic",0.592,0.355,9,-14.051,1,0.0352,0.478,0,0.0585,0.499,133.032,4
spotify:track:35hfuechuOqaW31ogdauO7,"It's In The Kiss (The Shoop Shoop Song)","No Place To Hide","Betty Everett",2010-12-07,129758,56,false,,2026-02-06T15:24:01Z,"northern soul,doo-wop,motown","Jukebox Records",0.604,0.51,11,-9.323,0,0.0544,0.903,0.0000219,0.71,0.916,124.012,4
spotify:track:7ngRS53kqxLcEt9Pythc5d,"You Don't Own Me","Lesley Gore Sings Of Mixed-Up Hearts","Lesley Gore",1963-11-01,150000,74,false,,2026-02-06T15:24:01Z,"","Mercury Records",0.473,0.434,2,-10.02,1,0.0257,0.701,0,0.628,0.711,94.814,3
spotify:track:6dGnYIeXmHdcikdzNNDMm2,"Here Comes The Sun - Remastered 2009","Abbey Road (Remastered)","The Beatles",1969-09-26,185733,87,false,,2026-02-06T15:24:01Z,"rock clássico,rock psicodélico","EMI Catalogue",0.557,0.54,9,-10.484,1,0.0347,0.0339,0.00248,0.179,0.394,129.177,4
spotify:track:3BQHpFgAp4l80e1XslIjNI,"Yesterday - Remastered 2009","Help! (Remastered)","The Beatles",1965-08-06,125666,80,false,,2026-02-06T15:24:01Z,"rock clássico,rock psicodélico","EMI Catalogue",0.332,0.179,5,-11.83,1,0.0326,0.879,0,0.0886,0.315,96.524,4
spotify:track:2GbePPrWWSRxcmW6QRSPae,"Piece of My Heart","Erma Franklin: Piece Of Her Heart - The Epic And Shout Years","Erma Franklin",2009-02-18,157266,60,false,,2026-02-06T15:24:01Z,"soul clássico,northern soul,soul,motown","NITRON media",0.467,0.783,8,-5.207,1,0.0528,0.139,0.0214,0.08,0.591,160.841,4
spotify:track:1JO1xLtVc8mWhIoE3YaCL0,"Happy Together","Happy Together","The Turtles",1967,176293,81,false,,2026-02-06T15:24:01Z,"","Flo & Eddie, Inc.",0.584,0.367,6,-9.638,0,0.0328,0.55,0.0000138,0.0818,0.588,120.175,4
spotify:track:7tqhbajSfrz2F7E1Z75ASX,"Ain't No Mountain High Enough","United","Marvin Gaye;Tammi Terrell",1967-08-29,151666,89,false,,2026-02-06T15:24:01Z,"motown,soul clássico,soul,northern soul,quiet storm","UNI/MOTOWN",0.663,0.6,7,-10.87,1,0.032,0.43,0,0.184,0.797,129.987,4
spotify:track:6pwhPuPd4JEv4XeJDUpxBt,"California Dreamin' - Mono Version","If You Can Believe Your Eyes And Ears (Mono Version)","The Mamas & The Papas",1966-02-28,164560,78,false,,2026-02-06T15:24:01Z,"folk rock","Geffen",0.495,0.777,1,-7.088,0,0.0352,0.0864,0,0.0429,0.753,112.29,4
spotify:track:3m7V717IKZqZLW5qUIOxdD,"Hey Jude - Remastered 2009","The Beatles 1967 - 1970 (Remastered)","The Beatles",1973-04-02,431333,77,false,,2026-02-06T15:24:01Z,"rock clássico,rock psicodélico","EMI Catalogue",0.399,0.555,10,-10.156,1,0.0259,0.0275,0.0000133,0.0928,0.663,145.164,4
spotify:track:2CQRYn5cTD2B9a1ONjhTN2,"Wouldn't It Be Nice - Mono","Pet Sounds (Original Mono & Stereo Mix)","The Beach Boys",1966-06-16,145800,51,false,,2026-02-06T15:24:01Z,"pop barroco","Capitol Records",0.396,0.687,5,-5.607,1,0.0341,0.725,0.00000105,0.17,0.718,124.261,4
